KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
JQEDSR,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Honda,Supra X 125,2011,Hitam,6005000
IPA2DG,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Suzuki,Thunder 125,2014,Hitam,3243000
DKPC61,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Suzuki,Thunder 125,2014,Biru Hitam,2973000
KBNTPL,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Honda,Mega Pro/ GL 160 D,2010,Hitam,3804000
4NHHKI,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Suzuki,Thunder 125,2013,Hitam,2963000
DNLVX4,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Honda,Supra X 125,2010,Hitam,5424000
Z7YDYD,Mobil ,2024,KALIMANTAN SELATAN,KOTA BANJAR BARU,KPKNL Banjarmasin,3,3,Mitsubishi,Strada,2006,Hitam,76160000
QZGEJV,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Suzuki,Thunder 125,2014,Biru Hitam,4323000
RTPBXN,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Honda,Supra X 125,2010,Hitam,4932000
UZRJIA,Motor ,2024,JAMBI,KOTA JAMBI,KPKNL Jambi,3,3,Honda,Mega Pro/ GL 160 D,2010,Hitam,3013000
A7TU9S,Mobil ,2024,LAMPUNG,KOTA BANDAR LAMPUNG,KPKNL Bandar Lampung,3,3,Mitsubishi, Strada CR 2.5 A DC GLS (4X4) M/T  ,2011,Putih Solid,133372550
FQIEPH,Mobil ,2024,SUMATERA BARAT,KABUPATEN TANAH DATAR,KPKNL Bukittinggi,3,3,Honda,Brio RS 1.2 MT CKD,2002,Putih,134855000
BJN6B0,Mobil ,2024,DKI JAKARTA,KOTA JAKARTA PUSAT,KPKNL Jakarta II,2,2,Toyota,Kijang KF80 Long STD,2001,Hijau Metalik,26960000
JEGSOD,Motor ,2024,SUMATERA BARAT,KABUPATEN TANAH DATAR,KPKNL Bukittinggi,3,3,Yamaha,Mio J type 54P (cast wheel) A/T,2013,Merah Hitam,5042200
LR3DJV,Mobil ,2024,JAWA BARAT,KABUPATEN CIREBON,KPKNL Cirebon,3,3,Isuzu,Panther Smart FF  ,2014,Biru Tua Metalik,94041000
