KODE,KATEGORI OBJEK,TAHUN LELANG,PROVINSI,KOTA,KPKNL,kategori_lokasi_jan_jun,kategori_lokasi_jul_des,MEREK,TIPE,TAHUN PEMBUATAN,WARNA, HARGA LAKU 
SN7WNW,Mobil ,2022,SULAWESI TENGGARA,KABUPATEN KONAWE SELATAN,KPKNL Kendari,3,3,Toyota,Hartop,1978,Biru,2500000
OYZURV,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 42 Short,1995,Biru,18567890
1UEBGC,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJAR BARU,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 40 Short,1990,Silver Metalik,11223344
TC72SW,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 40 Short,1993,Abu - abu Metalik,23456789
DZPSP1,Motor ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Kaisar,Triseda,2009,Ungu,5700351
FNPP8A,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 70 Short,2001,Hijau Metalik,36789100
WA72QD,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Yamaha,YT 115 cc,2006,Hijau Metalik,3800100
ZJ14UJ,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3897000
FWQBPF,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Ford,Double Cabin Base 2.5 L,2010,Hijau Metalik,55555555
9JT7PY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3755000
DXUMWV,Mobil ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Mitsubishi,Srada M.DC.L 200,2006,Hijau Metalik,48987000
M3SKUY,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Yamaha,YT 115 cc,2006,Hijau Metalik,3900000
FL3WD4,Motor ,2022,NUSA TENGGARA TIMUR,KABUPATEN ENDE,KPKNL Kupang,3,3,Honda,Win 100 cc,2005,Hitam,3789000
MWUJUP,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Suzuki,A 100,1996,Merah,850000
WHKG5R,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Kawasaki,AN 112 D,2004,Hitam,1310000
DGJ2RF,Motor ,2022,KALIMANTAN TENGAH,KABUPATEN MURUNG RAYA,KPKNL Palangkaraya,3,3,Honda,NF 125,2005,Hitam,2500000
8YKKPI,Mobil ,2022,SULAWESI UTARA,KOTA MANADO,KPKNL Manado,3,3,Isuzu,Bus 4570 cc,2006,Biru,31700000
HPBBQO,Motor ,2022,KALIMANTAN BARAT,KOTA PONTIANAK,KPKNL Pontianak,3,3,Honda,GX Max,1997,Stone Grey,5820000
XLBEYZ,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SL,2007,Hitam Orange,4879000
ZSOOPV,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SLD,2005,Hitam,4250000
QWRIOA,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SE,2008,Hitam,4777777
DRWT0Z,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SLD,2005,Hitam Silver,4765000
JI71NO,Mobil ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Toyota,Innova G,2005,Dark Blue,75689000
N9X615,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SLD,2006,Hitam,4567890
CQR3OL,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 11B1D,2009,Hitam,5689000
NE7MNQ,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,NF 100 SLD,2005,Hitam,3700000
JK5HDA,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2007,Hitam Biru,6637000
ZIW4RG,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SF,2006,Hitam,4770000
XUMWD8,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SF,2006,Hitam,5089000
UKXYGF,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Yamaha,Vega,2003,Hitam,4735000
M6HYPY,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 100 SLD,2005,Hitam,4284000
CYUPTK,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2007,Hitam,5722000
EQMT49,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Yamaha,Vega ,2003,Hitam,3843000
SBXRVC,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2006,Hitam Biru,5122000
PYUPQT,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2006,Hitam Orange,2660000
VPCQRY,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2005,Hitam Silver,4181000
OJGFYR,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Yamaha,Vega ,2004,Hitam,4141000
MUGV2Y,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Yamaha,Vega ,2004,Biru,3895000
KPLZSJ,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KOTA PANGKAL PINANG,KPKNL Pangkal Pinang,3,3,Honda,NF 125 SD,2005,Hitam Silver,4353000
AYLN65,Motor ,2022,NUSA TENGGARA TIMUR,KOTA KUPANG,KPKNL Kupang,3,3,Honda,Mega Pro GL 160 CW 2,2009,Biru,7999999
VQNQEA,Motor ,2022,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Honda,Supra,2020,Hitam,1575000
U4MIJZ,Motor ,2022,KALIMANTAN SELATAN,KOTA BANJARMASIN,KPKNL Banjarmasin,3,3,Honda,Scoopy,2015,Hitam Coklat,10400000
WO3ZNE,Motor ,2022,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,KPKNL Palangkaraya,3,3,Honda,Kharisma NF 125 D,2003,Hitam,3050000
Q3M7IP,Mobil ,2022,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,KPKNL Banjarmasin,3,3,Toyota,Kijang  Standar KF 80,1999,Biru Metalik,20555000
AS9DDZ,Mobil ,2022,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,KPKNL Banjarmasin,3,3,Isuzu,TBR 54 STD,2000,Hijau Metalik,27600999
5VMWEC,Motor ,2022,KALIMANTAN TENGAH,KOTA PALANGKA RAYA,KPKNL Palangkaraya,3,3,Honda,Supra 125 D,2008,Silver,4333333
PDK1HH,Mobil ,2022,KALIMANTAN SELATAN,KABUPATEN TANAH BUMBU,KPKNL Banjarmasin,3,3,Daihatsu,Xenia F601 1300 cc ,2005,Biru Metalik,38700000
3SNBWX,Motor ,2022,KALIMANTAN SELATAN,KABUPATEN TAPIN,KPKNL Banjarmasin,3,3,Honda,GL 100,1995,Hitam,1680000
QF3KNT,Motor ,2022,KALIMANTAN SELATAN,KABUPATEN TAPIN,KPKNL Banjarmasin,3,3,Honda,GL Max,1991,Hitam,2780000
R9WEJF,Motor ,2022,KALIMANTAN SELATAN,KABUPATEN TAPIN,KPKNL Banjarmasin,3,3,Honda,Astrea Grand 100cc,1993,Hitam,576000
JMN483,Motor ,2022,KALIMANTAN SELATAN,KABUPATEN TAPIN,KPKNL Banjarmasin,3,3,Suzuki,Thunder,2007,-,2556999
DJMCIL,Motor ,2022,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Yamaha,RX King,2004,Stone Grey,3139000
GANBPC,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJAR BARU,KPKNL Banjarmasin,3,3,Toyota,Land Cruiser,1976,Hijau,346000000
8BL5KI,Mobil ,2022,GORONTALO,KABUPATEN GORONTALO,KPKNL Gorontalo,3,3,Toyota, Vioz,2005,Stone Grey,23515000
HUWVEQ,Mobil ,2022,KALIMANTAN SELATAN,KOTA BANJAR BARU,KPKNL Banjarmasin,3,3,Toyota,Kijang ,1996,Hijau,24144144
GVNIJH,Mobil ,2022,JAWA TIMUR,KOTA SURABAYA,KPKNL Surabaya,1,2,Nissan,Grand Livina XV 1.5 AT,2007,Hitam Metalik,62500009
JZXJRP,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,Yamaha,Jupiter,2004,Kuning,4159000
QTDIMC,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,Honda,Supra Fit D,2006,Hitam,4100000
NEJ8CV,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,TVS,RockZ Plus,2010,Saphire Blue,3100000
9LDAUF,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,Honda,Win,2003,Hitam,6499999
VPZNSH,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,Honda,Supra Fit D,2006,Hitam,5499999
1NO6XI,Motor ,2022,KALIMANTAN BARAT,KOTA SINGKAWANG,KPKNL Singkawang,3,3,Yamaha,Jupiter,2004,Kuning,4359999
WBTHAC,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,2P2 Jupiter Z 110 CC,2006,Biru,3703000
ZE3T82,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 RCD,2008,Hitam,2820000
28C5WK,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,5 TP Jupiter Z   ,2005,Perak,3112000
XWLQ3M,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Nissan,Grand Livina XV M/T,2011,Abu - abu Metalik,64053000
VQIJOA,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Toyota,KF 60 STD,2006,Putih,17976000
XX1D5Q,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Nissan,Grand Livina 1.8 XV M/T,2008,Hitam Metalik,52643000
HQ5LW7,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 RCD,2008,Hitam,2121000
OH8O1N,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,EN 125 A,2007,Hitam,3471000
ADKTYB,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FD 125 XSD,2006,Biru Metalik,2629000
9S26ML,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Mitsubishi,Strada CR 2.5 L GLS ,2007,Hitam Mika,82112000
QXIHVW,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Mitsubishi,Colt L 300 PU FB,2007,Hitam,76272000
RDHZMA,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,1S7 Jupiter MX 135 cc,2009,Biru,7067000
IWJSJN,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,EN 125 Thunder,2007,Silver,3582000
FARUGD,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,V 110 ZHE,2003,Hitam,8291000
DW3BQ0,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,RX King LOT 32,2005,Hitam Hijau,10625000
1D2YRL,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FD 125 XSD,2006,Merah Hitam,2577000
2RINAW,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,31B Jupiter Z-CW,2011,Biru,4858000
LEKVSN,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 SD,2008,Hitam,4522000
FRDXXS,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,3C1 Vixion,2012,Putih,11609000
81ICBE,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FD 125 XSD,2006,Merah Hitam,3011000
J9OOUF,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Mitsubishi,Kuda VA1W GLX/Deluxe,2005,Biru Metalik,41758000
2IFSQA,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 SD,2008,Biru Hitam,4201000
DEEPUN,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Honda,GL 160 D ,2006,Hitam,4500000
DUX97Y,Mobil ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Daihatsu,Terios F700RG TX MT,2009,Hitam Metalik,68549000
SBH3QQ,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,3C1 Vixion,2007,Hitam,4532000
TKIBPP,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 RCD,2008,Hitam,2968000
6TJEC0,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Suzuki,FL 125 RCD,2010,Merah Hitam,2898000
QVUBVZ,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Yamaha,30 C Jupiter Z 110 CC,2009,Merah Hitam,8452000
ISNQRM,Motor ,2022,KEPULAUAN BANGKA BELITUNG,KABUPATEN BANGKA TENGAH,KPKNL Pangkal Pinang,3,3,Honda,GL 160 D ,2006,Hitam Biru,4213000
01RTY2,Mobil ,2022,KALIMANTAN TIMUR,KOTA BALIKPAPAN,KPKNL Balikpapan,3,3,Mitsubishi,Kuda VA1W GLS,2004,Merah Metalik,35000000
UZE85C,Motor ,2022,SULAWESI TENGAH,KABUPATEN MOROWALI,KPKNL Palu,3,3,Honda,Supra Fit,2004,Hitam,2827250
RIWOA3,Motor ,2022,SULAWESI TENGAH,KABUPATEN MOROWALI,KPKNL Palu,3,3,Honda,GLP III,2006,Hitam,1485880
AE7PJD,Motor ,2022,DI YOGYAKARTA,KOTA YOGYAKARTA,KPKNL Yogyakarta,3,3,Honda,Kharisma 125,2004,Hitam,3399999
IG2OTY,Motor ,2022,KALIMANTAN BARAT,KABUPATEN KETAPANG,KPKNL Pontianak,3,3,Honda,Supra X 125,2006,Hitam,4850000
2AEVP6,Motor ,2022,DKI JAKARTA,KOTA JAKARTA TIMUR,KPKNL Jakarta V,2,2,Yamaha,NMax 2 DP ,2016,Abu - abu,15300999
ZVUCZB,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Kijang  Innova Tipe V AT,2005,Hitam,16825000
YRN5D0,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Mitsubishi,Maven GLX,2007,Silver Metalik,16125000
WVZO0I,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Daihatsu,Zebra Espass,2003,Silver,5176000
VOZDXJ,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Fortuner 2.7 Tipe V,2007,Hitam,76624000
2LZGS1,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Kijang  KF 60,2006,Biru Muda,4564000
RJY9EV,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Suzuki,Mega Carry ,2012,Biru,22977000
P3WV9M,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Suzuki,Mega Carry ,2012,Biru,12827000
YBXKTN,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Mitsubishi,T 120,2010,Hitam,9473000
M5HXEH,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Kijang ,2003,Hijau,5967000
BOCZQL,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Kijang  LX,2004,Hitam,12406000
PRCNWK,Mobil ,2022,GORONTALO,KABUPATEN POHUWATO,KPKNL Gorontalo,3,3,Toyota,Avanza G MT,2009,Hitam,31933000
KMNHKO,Mobil ,2022,KALIMANTAN SELATAN,KABUPATEN BALANGAN,KPKNL Banjarmasin,3,3,Toyota,Kijang  Super 1781 cc,1998,Biru,30637999
S5U9O4,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2002,Abu - abu,512345
ZT6B5C,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2003,Abu - abu,1800000
WRM3AZ,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,2001,Abu - abu,545678
VMHROJ,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Honda,GL Max,1997,Hitam,1850000
TEKXJG,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,MCB 97 cc,2004,Hitam,3119000
VW2YPS,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,645678
YVLDUI,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2002,Abu - abu,1890000
VYLSUM,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,612345
Z1HH4A,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,678999
UTA3ZL,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,2001,Abu - abu,1250000
XQTRA5,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,645678
EVIAS3,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,845678
DKOF6J,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,1997,Abu - abu,415678
LVXBQW,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,YT,2002,Abu - abu,3060000
KRKLIO,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2002,Abu - abu,7800000
7PCE2I,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,612345
4GZDDX,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,MCB 97 cc,2004,Hitam,2967000
XR5O3Q,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Millenium,100,2001,Abu - abu,1250001
NC0LKC,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,612345
FAFM8G,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Millenium,100,2001,Abu - abu,350119
BLXKPN,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,890000
CNDKDX,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,MCB 97 cc,2004,Hitam,2569000
CWXD7V,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,2001,Abu - abu,378999
EJOSDA,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,1111011
7DVFKW,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,678999
3XVIRO,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2006,Abu - abu,5590000
RCAUM7,Mobil ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Daihatsu,Veroza,1997,Putih,16791000
NZBX7Z,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,612345
NQPR1E,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2003,Abu - abu,5000000
MPKYH9,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,1111111
FTXGOX,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,MCB 97 cc,2004,Hitam,3234000
54ULCC,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,YT,2001,Abu - abu,2520000
JNELUP,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,YT,2001,Abu - abu,3870000
LRNVZQ,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,YT,2001,Abu - abu,3870000
1SDE7N,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,1995,Abu - abu,533333
KYYSEU,Mobil ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Isuzu,Panther,2006,Abu - abu,13791000
NPG8XW,Mobil ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Isuzu,Panther,2006,Abu - abu,8000000
HIOA6M,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,876543
KGO9ON,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Honda,Kirana ND 125,2004,Abu - abu,1456789
WDYBS2,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Dayang,Roda 3,2008,Abu - abu,1310999
X9NSWC,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,Thander,2004,Abu - abu,3325000
JG4R3A,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2003,Abu - abu,2777777
IZEJYL,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,Thunder,2004,Abu - abu,612345
WHDBPT,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Honda,GL Max,1997,Abu - abu,434567
WGQRL0,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,2001,Abu - abu,345678
DKUWM7,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Honda,Kirana ND 125,2004,Abu - abu,1345678
JI4EOP,Motor ,2022,SULAWESI TENGAH,KABUPATEN TOJO UNA-UNA,KPKNL Palu,3,3,Honda,ND 125 Kirana,2003,Hitam,2007000
KQ8MXU,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Yamaha,RX King,2003,Putih,6000000
WFJES0,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Suzuki,A 100,2001,Abu - abu,481234
A7GEWW,Motor ,2022,BENGKULU,KABUPATEN BENGKULU UTARA,KPKNL Bengkulu,3,3,Honda,GL Max,2002,Hitam,899000
